testcase,cost_reference,group
small_01_N2_M5,148,small
small_03_N5_M10,576,small
small_05_N10_M20,1242,small
edge_N1_23_N1_M300,7230,medium
medium_09_N15_M150,24864,medium
medium_15_N30_M300,71607,medium
medium_17_N35_M400,105155,medium
edge_infeas_26_N30_M200,-1,medium
dist_corner_31_N15_M150,15895,medium
dist_cluster_35_N30_M300,23765,medium
large_18_N40_M500,170312,large
large_20_N50_M800,348817,large
large_22_N50_M1000,472414,large
edge_sparse_27_N40_M800,269969,large
edge_dense_30_N50_M1000,1430,large
dist_diagonal_39_N50_M800,161460,large
