testcase,alpha,max_no_improve,reheat_ratio,cost_min,cost_avg
edge_infeas_26_N30_M200,0.999,1000,0.3,-1,-1.0
dist_corner_31_N15_M150,0.999,1000,0.3,16535,16539.67
edge_N1_23_N1_M300,0.999,1000,0.3,15093,15480.33
dist_cluster_35_N30_M300,0.999,1000,0.3,28442,28877.0
large_18_N40_M500,0.995,2000,0.3,184608,186833.0
dist_diagonal_39_N50_M800,0.995,2000,0.3,173815,175626.33
edge_dense_30_N50_M1000,0.995,2000,0.3,1430,1430.0
edge_sparse_27_N40_M800,0.995,2000,0.3,344842,352521.0
large_20_N50_M800,0.995,2000,0.3,374162,374423.67
small_01_N2_M5,0.99,1000,0.2,148,148.0
small_03_N5_M10,0.99,1000,0.2,576,576.0
small_05_N10_M20,0.99,1000,0.2,1242,1242.0
medium_09_N15_M150,0.999,1000,0.3,26849,27487.0
medium_15_N30_M300,0.999,1000,0.3,81414,81853.33
medium_17_N35_M400,0.999,1000,0.3,118738,120708.0
large_22_N50_M1000,0.995,2000,0.3,501918,505440.67
